RMSD,score
55.8455200195,245.55771754
55.317199707,237.941248198
55.3546180725,237.775521318
55.0391731262,238.864357382
54.9497718811,237.805022634
54.8010597229,235.837402031
54.9284057617,236.85834177
55.0060386658,235.263949831
54.9307479858,233.912274575
54.818031311,233.708870585
54.8290977478,233.9482171
54.7387161255,234.464668299
54.6658592224,232.788704853
54.7670593262,233.415376404
54.4303627014,233.972611402
54.327960968,232.451452544
54.2340316772,234.266376632
54.1878700256,233.074767898
54.1106185913,231.997516488
54.1072883606,232.78810781
54.0195770264,231.623310194
54.0973205566,232.105560156
53.9845466614,231.994294262
53.9363937378,232.10642648
53.9933624268,232.19863622
54.0203819275,231.884785319
53.7748184204,232.889448455
53.7708244324,231.30253936
53.7145271301,230.4467092
53.7081108093,230.04119092
53.7130203247,229.92224198
53.8098907471,230.078817691
53.8039855957,230.686468101
53.9006881714,229.822793061
53.8011856079,230.065246527
53.7858810425,230.118699946
53.7949180603,229.538277435
53.7659683228,230.497259888
53.8003730774,232.040571889
53.8164291382,230.62525426
53.8556404114,231.182457589
53.9861373901,228.237848026
53.9703102112,228.799946173
53.858543396,229.825608373
53.8619117737,231.4633418
53.9280853271,231.711709226
53.9491882324,230.087521325
53.6599197388,229.160154402
53.6577262878,229.171586061
53.6678276062,227.315784093
53.9850349426,230.301466748
53.9793167114,227.938256839
53.9493026733,227.60442445
53.900718689,227.765685553
53.9445915222,227.948668955
54.0475921631,227.187037359
53.940410614,226.614544437
54.1030731201,226.638831381
53.9475059509,225.967411698
53.9500808716,226.133401529
54.0389900208,226.17968658
54.0613975525,227.546154039
53.8972091675,226.84249053
53.9027862549,226.474187349
53.8945503235,226.162489126
53.8406677246,227.104491437
54.0104255676,227.083293345
53.8728942871,227.434188295
54.0359306335,226.396679365
54.1343765259,224.874131046
54.1091575623,224.257441466
54.1711769104,223.994045244
54.2684936523,224.599285966
54.0919380188,224.576421278
54.1370887756,224.715478404
54.1020011902,224.770843385
54.1727333069,224.077390764
54.1909980774,226.366333713
54.2785224915,224.282608673
54.3177719116,223.785611056
54.387966156,223.049940705
54.1421546936,224.554320456
54.2091636658,224.499660154
54.306224823,224.45884436
54.3435516357,224.744940877
54.3893280029,224.644701708
54.4394836426,223.191182676
54.3696174622,223.385383032
54.4154624939,223.471358165
54.2770957947,224.957985345
54.1468734741,223.351644473
54.0922203064,224.441104255
54.2139930725,224.508351523
54.2975540161,224.230081206
54.2801818848,223.718260878
54.2915306091,224.008497215
54.2865829468,224.897386584
54.4104919434,225.123653315
54.3667945862,226.289830899
54.3708686829,225.72945875
54.3570175171,225.988043853
54.4445495605,223.963125389
54.3369102478,224.195272439
54.2207832336,224.646958209
54.2308769226,222.898492337
54.0477027893,223.05396361
54.145690918,224.193099447
54.189704895,224.193520446
54.2557640076,222.765277708
54.2806854248,223.092738406
54.1936759949,222.864920751
54.1834869385,222.540945586
54.0205039978,226.201675512
54.1109352112,223.269708486
54.1168785095,224.661507826
54.0493507385,224.057377219
54.1697235107,223.885033478
54.2164459229,223.30739985
54.1408462524,222.779394537
54.1022758484,224.074624479
54.2186584473,224.778560993
53.992893219,225.029283985
54.0695381165,222.897373855
54.0750617981,223.083790936
54.2126045227,222.887263787
54.0403785706,222.502575583
54.0939598083,222.783668665
54.1221694946,223.040213038
54.2085418701,223.356250747
54.2023735046,223.396701334
54.3053627014,223.610775742
54.4140586853,222.521782214
54.4273948669,224.539455514
54.2192420959,222.481373213
54.2668190002,221.781181567
54.1143989563,222.990788489
54.1489028931,220.974207487
54.2505493164,223.058159337
54.1931991577,221.512078012
54.1014976501,222.398127157
54.1241073608,221.303357422
54.1614227295,220.934798237
54.1099662781,221.631221554
54.1793441772,222.340539427
54.1840248108,222.445646026
54.1823577881,223.338242146
54.1206741333,221.962972284
54.2133750916,222.808192219
54.050567627,223.627589922
54.0019760132,222.942102049
54.0411491394,223.051223888
54.1593742371,223.121738919
54.1037139893,223.431792369
54.0939788818,224.072060929
54.0485229492,225.571719775
53.9522666931,222.945860476
53.9672584534,222.52852917
53.8912353516,224.798293113
53.9157142639,224.479247338
53.9115257263,222.729943435
53.9239883423,223.422719416
53.9226646423,221.488455892
53.8949356079,222.766811416
53.9109802246,223.746039964
53.8882675171,224.284361979
53.951789856,220.88496553
53.882484436,221.418210665
53.9165458679,222.872910308
53.9107704163,220.831006403
54.1370735168,220.347021711
